epoch,acc,loss,val_acc,val_loss
0,0.05596362364984301,4.514049070204168,0.08624175824306823,4.25616233259767
1,0.09382651276670165,4.222202810135368,0.13923158266430258,3.8924415172259907
2,0.1316019587320396,3.930006373800069,0.20065209729899644,3.4815613622811634
3,0.17602308499996544,3.6368920088398076,0.2631300669892241,3.1378422629299574
4,0.21135012243085077,3.383623991199372,0.33521325344986,2.836005678175199
5,0.25279818119265557,3.153715373086279,0.38350370111896576,2.541626942201866
6,0.29240993354319694,2.94200439192941,0.41945717307802316,2.3839998273392315
7,0.321178733802167,2.7763552250416805,0.4381388791147088,2.2126601149508933
8,0.349685204637847,2.617356655396711,0.46043355658960294,2.1116065227380303
9,0.37093389295914575,2.502724962744858,0.47789010989534986,2.008463240288116
10,0.3961175235992297,2.3896178559599828,0.515949947150883,1.8888698903910073
11,0.413256383350822,2.2969135235722726,0.5192985548219254,1.8280920942284753
12,0.4296082546396996,2.1915320836401104,0.5322523793067085,1.7404637723310254
13,0.4596887023330527,2.115937478519812,0.5325167430712486,1.7305417516448358
14,0.4595138160300113,2.0593608408050965,0.5600105745820962,1.6415156796600854
15,0.48399790134326526,1.956250317824725,0.557102573159025,1.6148976491324953
16,0.4899440363659313,1.9141205370363634,0.5730525202941508,1.5901268763434184
17,0.510580622574465,1.8470141346865745,0.5907648925143919,1.5079984781310976
18,0.5210738020286814,1.7818332738541105,0.5977142857300056,1.4887894176126837
19,0.5285939139767767,1.7532805846512172,0.6035424744724114,1.4526553064595238
20,0.5522035677018554,1.6840502448997619,0.6090059922768442,1.437784117534573
21,0.5497551591465547,1.6635522238646991,0.612795206211615,1.4279518848653405
22,0.566894018866875,1.6118600455644707,0.6184349665270542,1.421283654366995
23,0.5714410633088493,1.5804611945244014,0.6247796968812669,1.3839695522818383
24,0.5830710038683472,1.5328030916476174,0.6137645400333119,1.3865419753975208
25,0.5855194123923758,1.5245781639482059,0.6314769122601186,1.3217956835576712
26,0.5903287862680642,1.4833705345622807,0.627423334539798,1.3590317537478254
27,0.6051941238195173,1.4395699623624276,0.6467692307875706,1.290049148145613
28,0.6085169639942654,1.4212642755071447,0.645664434286493,1.2774862891294858
29,0.6238195173137461,1.3552099399610014,0.6520972858876736,1.2559978937625802
